sim_time,month,day,hour,heating_setpoint,cooling_setpoint
01/21 00:00,1,21,0,19.5,26.7
01/21 01:00,1,21,1,17.5,25.6
01/21 02:00,1,21,2,20.8,25.1
01/21 03:00,1,21,3,18.5,25.8
01/21 04:00,1,21,4,18.5,25.5
01/21 05:00,1,21,5,20.5,27.1
01/21 06:00,1,21,6,19.0,26.5
01/21 07:00,1,21,7,20.5,25.5
01/21 08:00,1,21,8,19.5,25.5
01/21 09:00,1,21,9,18.2,25.5
01/21 10:00,1,21,10,18.5,25.1
01/21 11:00,1,21,11,19.5,26.1
01/21 12:00,1,21,12,19.5,26.5
01/21 13:00,1,21,13,16.5,25.0
01/21 14:00,1,21,14,20.5,25.4
01/21 15:00,1,21,15,19.5,26.2
01/21 16:00,1,21,16,20.5,26.1
01/21 17:00,1,21,17,21.5,26.5
01/21 18:00,1,21,18,18.5,25.3
01/21 19:00,1,21,19,18.0,25.0
01/21 20:00,1,21,20,18.0,25.0
01/21 21:00,1,21,21,16.8,25.2
01/21 22:00,1,21,22,18.7,23.5
01/21 23:00,1,21,23,20.5,25.9
07/21 00:00,7,21,0,20.5,25.9
07/21 01:00,7,21,1,19.4,26.5
07/21 02:00,7,21,2,19.4,26.5
07/21 03:00,7,21,3,19.5,25.9
07/21 04:00,7,21,4,19.5,26.1
07/21 05:00,7,21,5,20.7,26.1
07/21 06:00,7,21,6,20.7,26.1
07/21 07:00,7,21,7,18.8,26.2
07/21 08:00,7,21,8,20.5,26.8
07/21 09:00,7,21,9,18.2,25.5
07/21 10:00,7,21,10,18.5,26.3
07/21 11:00,7,21,11,20.5,25.5
07/21 12:00,7,21,12,20.5,27.5
07/21 13:00,7,21,13,20.5,25.8
07/21 14:00,7,21,14,18.8,25.5
07/21 15:00,7,21,15,18.2,26.7
07/21 16:00,7,21,16,20.5,25.9
07/21 17:00,7,21,17,18.8,26.5
07/21 18:00,7,21,18,18.5,25.5
07/21 19:00,7,21,19,21.5,26.6
07/21 20:00,7,21,20,20.5,26.5
07/21 21:00,7,21,21,19.5,25.3
07/21 22:00,7,21,22,19.5,26.2
07/21 23:00,7,21,23,20.5,26.5
01/21 00:00,1,21,0,20.5,25.6
01/21 01:00,1,21,1,18.5,25.9
01/21 02:00,1,21,2,19.5,26.6
01/21 03:00,1,21,3,18.2,25.5
01/21 04:00,1,21,4,17.5,26.6
01/21 05:00,1,21,5,19.8,25.9
01/21 06:00,1,21,6,18.2,25.5
01/21 07:00,1,21,7,19.5,25.6
01/21 08:00,1,21,8,20.5,26.2
01/21 09:00,1,21,9,18.5,26.3
01/21 10:00,1,21,10,19.9,25.9
01/21 11:00,1,21,11,18.2,26.7
01/21 12:00,1,21,12,20.5,26.3
01/21 13:00,1,21,13,18.0,26.0
01/21 14:00,1,21,14,18.5,24.2
01/21 15:00,1,21,15,18.5,24.2
01/21 16:00,1,21,16,19.5,26.7
01/21 17:00,1,21,17,19.5,25.0
01/21 18:00,1,21,18,18.5,26.7
01/21 19:00,1,21,19,19.8,25.2
01/21 20:00,1,21,20,18.0,26.0
01/21 21:00,1,21,21,20.8,26.2
01/21 22:00,1,21,22,17.4,26.8
01/21 23:00,1,21,23,18.2,26.5
07/21 00:00,7,21,0,18.0,25.0
07/21 01:00,7,21,1,18.0,25.5
07/21 02:00,7,21,2,18.0,26.5
07/21 03:00,7,21,3,20.7,25.5
07/21 04:00,7,21,4,18.5,26.1
07/21 05:00,7,21,5,19.5,25.5
07/21 06:00,7,21,6,18.5,26.5
07/21 07:00,7,21,7,19.5,26.5
07/21 08:00,7,21,8,20.5,26.8
07/21 09:00,7,21,9,19.4,25.4
07/21 10:00,7,21,10,18.5,25.5
07/21 11:00,7,21,11,19.5,26.1
07/21 12:00,7,21,12,18.5,25.3
07/21 13:00,7,21,13,19.5,26.5
07/21 14:00,7,21,14,18.2,26.5
07/21 15:00,7,21,15,19.5,25.8
07/21 16:00,7,21,16,19.8,26.9
07/21 17:00,7,21,17,19.5,26.2
07/21 18:00,7,21,18,18.5,25.6
07/21 19:00,7,21,19,20.5,25.5
07/21 20:00,7,21,20,18.5,25.5
07/21 21:00,7,21,21,20.5,26.5
07/21 22:00,7,21,22,20.5,25.3
07/21 23:00,7,21,23,19.7,25.3
07/14 00:00,7,14,0,19.8,26.2
07/14 01:00,7,14,1,20.5,26.2
07/14 02:00,7,14,2,20.5,25.6
07/14 03:00,7,14,3,19.5,25.4
07/14 04:00,7,14,4,19.5,26.8
07/14 05:00,7,14,5,17.6,26.1
07/14 06:00,7,14,6,19.5,25.2
07/14 07:00,7,14,7,18.5,25.8
07/14 08:00,7,14,8,19.5,26.1
07/14 09:00,7,14,9,18.9,26.1
07/14 10:00,7,14,10,18.5,26.2
07/14 11:00,7,14,11,19.5,25.8
07/14 12:00,7,14,12,19.5,25.8
07/14 13:00,7,14,13,20.5,26.1
07/14 14:00,7,14,14,20.5,26.2
07/14 15:00,7,14,15,18.0,26.0
07/14 16:00,7,14,16,20.5,25.5
07/14 17:00,7,14,17,18.0,25.5
07/14 18:00,7,14,18,21.5,25.2
07/14 19:00,7,14,19,17.8,26.5
07/14 20:00,7,14,20,20.5,26.2
07/14 21:00,7,14,21,20.5,26.2
07/14 22:00,7,14,22,17.6,25.2
07/14 23:00,7,14,23,19.8,26.2
07/15 00:00,7,15,0,19.5,25.1
07/15 01:00,7,15,1,20.8,26.3
07/15 02:00,7,15,2,21.0,25.5
07/15 03:00,7,15,3,19.7,26.4
07/15 04:00,7,15,4,20.5,26.8
07/15 05:00,7,15,5,18.0,26.0
07/15 06:00,7,15,6,19.8,25.5
07/15 07:00,7,15,7,18.5,26.6
07/15 08:00,7,15,8,21.5,25.8
07/15 09:00,7,15,9,18.5,26.5
07/15 10:00,7,15,10,18.5,26.8
07/15 11:00,7,15,11,18.5,26.3
07/15 12:00,7,15,12,19.4,26.7
07/15 13:00,7,15,13,18.5,25.1
07/15 14:00,7,15,14,18.5,26.7
07/15 15:00,7,15,15,20.5,26.2
07/15 16:00,7,15,16,20.5,26.2
07/15 17:00,7,15,17,19.5,26.2
07/15 18:00,7,15,18,19.9,26.5
07/15 19:00,7,15,19,19.8,25.2
07/15 20:00,7,15,20,18.5,26.2
07/15 21:00,7,15,21,18.0,26.0
07/15 22:00,7,15,22,18.0,26.5
07/15 23:00,7,15,23,18.5,26.3
07/16 00:00,7,16,0,19.5,25.2
07/16 01:00,7,16,1,20.5,26.7
07/16 02:00,7,16,2,19.5,26.9
07/16 03:00,7,16,3,19.5,26.3
07/16 04:00,7,16,4,19.9,26.2
07/16 05:00,7,16,5,20.5,27.0
07/16 06:00,7,16,6,20.5,26.8
07/16 07:00,7,16,7,18.0,25.5
07/16 08:00,7,16,8,20.5,26.1
07/16 09:00,7,16,9,18.5,25.5
07/16 10:00,7,16,10,18.0,26.0
07/16 11:00,7,16,11,20.5,26.5
07/16 12:00,7,16,12,20.5,26.7
07/16 13:00,7,16,13,18.4,25.5
07/16 14:00,7,16,14,18.5,26.7
07/16 15:00,7,16,15,18.2,26.6
07/16 16:00,7,16,16,19.5,25.5
07/16 17:00,7,16,17,19.5,25.3
07/16 18:00,7,16,18,18.0,26.0
07/16 19:00,7,16,19,19.5,26.7
07/16 20:00,7,16,20,18.5,26.3
07/16 21:00,7,16,21,18.5,26.2
07/16 22:00,7,16,22,20.5,26.7
07/16 23:00,7,16,23,21.5,25.3
07/17 00:00,7,17,0,19.5,26.8
07/17 01:00,7,17,1,19.5,26.3
07/17 02:00,7,17,2,20.5,25.5
07/17 03:00,7,17,3,18.0,26.5
07/17 04:00,7,17,4,20.5,27.1
07/17 05:00,7,17,5,18.5,25.8
07/17 06:00,7,17,6,18.5,26.8
07/17 07:00,7,17,7,19.9,26.7
07/17 08:00,7,17,8,17.2,26.7
07/17 09:00,7,17,9,18.5,25.5
07/17 10:00,7,17,10,19.8,26.7
07/17 11:00,7,17,11,18.2,26.3
07/17 12:00,7,17,12,18.5,26.9
07/17 13:00,7,17,13,19.4,26.2
